Summary,Issue Type,Story Points,Component,Description,Acceptance Criteria,Implementation Summary,Commits
"Build a Fixed-Income terminal demo app (design-system-demo)",Story,8,design-system-demo,"Scaffold a new reference application that showcases the design system as a realistic FI trading terminal with a component gallery, registered in the workspace on port 5310.","App boots on port 5310 and is registered as a workspace member; renders an app shell with TopBar and tab navigation; deterministic seed data drives all widgets; build and typecheck pass.","Scaffolded the app, added FI data types with deterministic seeds and formatters, a pure applyTick ticking reducer with tests, and a useTickingStore interval hook. Added grid theme, theme-mode hook, ThemeToggle and CodeBlock helpers, then the TopBar + tab navigation shell.","b8929d72,9c26754a,2a6a7f71,3e983bd1,9fa8f2dd,1a749988,ea28ebf7,2e414805"
"Design System gallery tab with full component showcase",Story,8,design-system-demo,"Provide an interactive Design System tab that documents foundations (palette, typography) and demonstrates every shipped component grouped by category, with a completeness gate ensuring no component is undocumented.","Tab renders foundations + a categorized component gallery; a completeness gate fails the build if a registered component lacks a showcase entry; sections cover buttons, inputs, selection, overlays, navigation, data display, feedback, layout and charts.","Built a showcase framework (types, ComponentDemo, registry + completeness gate), added palette/typography/foundations/overview sections, then populated showcase entries across all component categories until the gallery was complete.","7e741a40,d3001fd4,8bd3470f,8a3b8816,2abf4086,b050e95a"
"FI terminal tabs: Market, Orders, Analytics, Risk, Research",Story,13,design-system-demo,"Deliver the core trading-terminal tabs: Market (blotter, watchlist, book, chart, ticket), Orders (blotter, order entry, RFQ), Analytics + Risk (charts, KPIs, exposure), and Research.","Each tab renders with live ticking data and design-system tokens only; charts, KPIs and blotters populate from seed state; no hardcoded colours.","Implemented Market, Orders, Analytics+Risk and Research tabs as composed views over the shared ticking store.","491e0f49,35d695b3,39af69da,dd626889"
"Dock-manager workspace for the FI demo (floating + docked panels)",Story,13,design-system-demo,"Replace static tabs with a dock-manager foundation supporting per-tab layouts, floating windows, and Save/Reset layout so users can rearrange the terminal.","Panels can be docked, floated, saved and reset per tab; Market dock is wired to live state; Trade Ticket and RFQ Workbench open as floating windows; layout persists across Save/Reset.","Added dock-manager helpers, registry and per-tab layouts; wired the Market dock to live state and added floating Trade Ticket + RFQ Workbench plus Save/Reset. Migrated Orders and Design System into dock widgets and removed the superseded tabs/panels.","58d6644f,d7207790,c1803468,c791881f,99385e6b,8508f043,8ae4b026"
"Expanded FI data model, trade ticket, order book and RFQ workbench",Story,13,design-system-demo,"Add a realistic FI data model and the interactive trading surfaces: a dealer-depth order book with recent prints, an FI trade ticket, and an RFQ workbench backed by a state machine.","Order book shows dealer depth + recent prints with issuer header; trade ticket validates and submits with focus-ring CTA; RFQ workbench drives a documented state machine; all under 80 LOC/function and token-compliant.","Expanded the FI data model + DemoStateProvider, built the dealer-depth order book, FI trade ticket (with extracted CtaButton helper), and the RFQ workbench + state machine.","941b762f,726fedb7,589e84e9,b9836301,1c27bd80"
"FI-terminal visual parity for RFQ, Trade Ticket and Orders",Story,5,design-system-demo,"Polish the RFQ, trade ticket and Orders surfaces to match the fi-terminal reference for elegance, spacing, and conviction Buy/Sell affordances.","RFQ/ticket support close, fit-to-content, conviction Buy/Sell and sane spreads; Orders, RFQ and ticket visually match the fi-terminal reference; Market tab layout matches reference.","Reworked RFQ/ticket interactions (close, fit, conviction, spreads), matched fi-terminal styling across the three surfaces, and restructured the Market tab layout to the reference.","bb5f73ba,4b0cdf69,569a57e5"
"MarketsGrid Lab developer-onboarding rework",Story,13,markets-grid-lab,"Rework the MarketsGrid Lab into a developer-onboarding experience with a Home landing tab, a grouped collapsible sidebar nav with filter, and an Inspector drawer (What/Why, Try, Config, Props) per feature.","Home tab is the default with hero, mount example, mental-model cards and feature map; sidebar replaces the horizontal tab strip with grouped, filterable, collapsible nav; Inspector drawer renders What/Why, Try, Config and Props derived from each feature config.","Added a feature-guide registry with shared base props, derived Inspector config blocks from LabFeatureConfig, built the InspectorDrawer and mounted it under the grid, added the grouped sidebar nav and the Home landing tab, then made the sidebar the default layout.","ea0f3805,be2ace80,0e1d206c,38a464a8,2a44bcd8,8994f7e9,fc93cf6c,306be252,963b4deb,04737c4c,19a34e11,d10fb2a2,ca5df78f"
"Grid column selector dialog + consolidated View menu",Story,5,grid,"Add a column selector dialog and consolidate column/view actions into a single View menu to declutter the grid toolbar.","Column selector dialog lets users show/hide and reorder columns; the View menu groups previously scattered toolbar actions; toolbar is visibly less cluttered.","Added the column selector dialog and a consolidated View menu.","4f9fbfb0,8c039daf,79a2ab74"
"Drag columns from the Columns tool panel onto the grid",Story,2,grid,"Allow users to drag columns directly from the Columns tool panel into the grid to add them.","Dragging a column from the Columns tool panel adds it to the grid at the drop position.","Enabled drag-from-tool-panel-to-grid behaviour.","1b3ee9e6"
"Auto Format and field-format catalog for the grid",Story,8,grid,"Add an Auto Format toolbar button backed by a field-format catalog so columns are formatted automatically by inferred type, with K/M magnitude scaling.","Auto Format button infers and applies formats per column; a field-format catalog drives matching (incl. K/M magnitude scaling); manual formats override auto formats; Auto Format is native to the formatting system.","Added the field-format catalog + Auto Format toolbar button, added K/M magnitude scaling and Soundex matching to the catalog, made Auto Format native to the formatting system, and let manual format override an auto-formatted column.","fd3a4c1f,e996fb7a,f1ab8d4a,1f06932d"
"Formatter toolbar usability overhaul + pop-out inspector",Story,8,grid,"Redesign the formatter toolbar for usability: a value readout, decimals control, search, category-tabbed selector, prominent currency/tick selectors, and a pop-out formatter panel redesigned as a flat inspector.","Formatter toolbar shows a readout, decimals and search; selector is category-tabbed with prominent currency/tick options; the pop-out panel is a flat inspector with templates in a Select, dismisses popovers on outside click, and supports touch/pen in the colour picker.","Added formatter toolbar usability features, a category-tabbed selector, prominent currency/tick selectors, and a popped-out panel redesigned as a flat inspector with assorted layout and dismissal fixes; added touch/pen support to the colour picker.","ef872db9,61eb4867,8d6754e5,fd6ea0c4,d8c3c6f3,f799c941,c0835f2d,8e9b76f3"
"Clear buttons fire immediately (no confirm dialog)",Story,1,grid,"Make formatter Clear buttons apply immediately instead of prompting a confirm dialog.","Clicking a Clear button clears immediately with no confirmation step.","Removed the confirm dialog so Clear fires immediately.","ede6368e"
"Relative trailing-window date filters in the stream-safe floating filter",Story,5,grid,"Add relative trailing-window date filters (e.g. last N days) to the stream-safe floating filter so date filtering stays correct under live data.","Floating filter offers relative trailing-window date options that remain stable as new ticks stream in.","Implemented relative trailing-window date filters in the stream-safe floating filter.","7722fee5,49ba9706"
"Grid cell context menu: Settings + Remove from Grid",Story,2,grid,"Add Settings and Remove from Grid items to the cell context menu.","Right-clicking a cell offers Settings and Remove from Grid actions that work as labelled.","Added the two context-menu items.","104f9752"
"Richer default GridOptions, status/side bar, and per-column Multi Filter",Story,3,grid,"Update default grid options to enable the status bar, side bar, richer grouping/selection defaults, and a default per-column Multi Filter.","New grids show status bar and side bar by default with richer grouping/selection; columns default to Multi Filter.","Updated default GridOptions and the default per-column Multi Filter; enabled status bar, side bar and richer grouping/selection defaults.","a1372da5,a9df4686"
"Persist customizer settings to IndexedDB on panel Save",Story,3,grid,"Persist grid customizer settings to IndexedDB when the user saves a panel so they survive reloads.","Saving a customizer panel writes settings to IndexedDB; settings are restored on reload.","Wired customizer Save to persist into IndexedDB.","768c1944,0af876bc"
"Export/import column defs as JSON in the Columns tab",Story,3,provider-editor,"Let users export and re-import grid column definitions as JSON from the provider editor Columns tab.","Columns tab can export current column defs to JSON and import a JSON file to apply them.","Added JSON export/import of column defs in the Columns tab.","0a8a397a"
"OpenFin grid-to-grid colour linking with selection sharing",Story,8,widgets-react,"Enable OpenFin colour-based context linking between grids so selecting a row in one grid shares selection to colour-linked grids, with notifications.","Grids can be colour-linked in OpenFin; selecting a row broadcasts to linked grids; notifications surface link events; diagnostics are gated behind a debug flag.","Implemented OpenFin grid-to-grid colour linking with selection sharing + notifications, enabled it on the star-demo blotter, and gated grid-link console diagnostics behind contextLink.debug.","2ab25b07,176abdd5,cd51739c,d4c164cd,06260e3b"
